,flight_id,start_index,start_datetime,end_index,end_datetime,npasses,passes_start_index,passes_end_index,start_lon,start_lat,end_lon,end_lat,alt_pre,pressalt_pre,press_pre,alt,pressalt,press,alt_post,pressalt_post,press_post,nondT_pre,deicedT_pre,nondT_pre_n,deicedT_pre_n,nondT_pre_err,deicedT_pre_err,nondT_post,deicedT_post,nondT_post_n,deicedT_post_n,nondT_post_err,deicedT_post_err
0,c297,11747,2022-07-16 17:25:33,11749,2022-07-16 17:25:35,1.0,[11747],[11749],-107.33751,33.93841,-107.335976,33.9365,2310.8767,2174.7542,777.8544,2296.2,2160.4795,779.2395,2290.6128,2156.3213,779.6867,293.8351,293.68192,15,15,0.04383952401188587,0.029741726024517873,293.82333,293.6855,15,15,0.01977833512448344,0.012006098606887504
1,c297,15457,2022-07-16 18:27:23,15528,2022-07-16 18:28:34,3.0,[15457 15483 15510],[15466 15488 15528],-107.226,33.91275,-107.2699,33.99307,4676.648,4356.8223,588.2737,4685.2026,4363.65,587.7457,4751.1475,4430.025,582.7366,274.4505,274.30206,15,15,0.04561859487826169,0.026721330767758535,273.81906,273.42902,15,15,0.020236925814762944,0.03811161305945065
2,c297,16127,2022-07-16 18:38:33,16184,2022-07-16 18:39:30,2.0,[16127 16154],[16144 16184],-107.23631,33.98613,-107.2338,33.91459,4838.942,4507.968,576.67676,4846.282,4516.279,576.0443,4789.9175,4467.141,579.8419,273.05527,273.0158,15,15,0.021403651739684317,0.00882932416713304,274.049,273.75333,15,15,0.10588561360320074,0.07086563350679982
3,c297,16462,2022-07-16 18:44:08,16518,2022-07-16 18:45:04,2.0,[16462 16497],[16481 16518],-107.23982,33.92697,-107.26789,33.99376,4833.9355,4502.1924,577.11646,4846.025,4513.4595,576.2585,4829.1396,4497.5234,577.5271,273.17725,273.12283,15,15,0.08309679621108909,0.06322304014989273,273.2387,273.0345,15,15,0.023078885343430548,0.021402757204472603
4,c298,12653,2022-07-19 17:11:20,12657,2022-07-19 17:11:24,1.0,[12653],[12657],-107.208725,33.93808,-107.20732,33.93288,5452.607,5069.194,535.2231,5433.703,5049.9834,536.60065,5439.2954,5057.215,536.11456,271.14697,271.63528,15,15,0.06586914071302237,0.05476319557609925,271.0709,271.61356,15,15,0.0184553290887463,0.02940512877606832
5,c298,12890,2022-07-19 17:15:17,12894,2022-07-19 17:15:21,1.0,[12890],[12894],-107.20802,33.93797,-107.20636,33.942997,5511.1074,5130.403,530.8518,5508.8237,5128.469,530.9894,5529.7183,5146.509,529.7061,270.413,270.927,15,15,0.0051031266812759345,0.02777864830322639,270.46976,271.0294,15,15,0.02357839188192075,0.021701655084010358
6,c298,13125,2022-07-19 17:19:12,13127,2022-07-19 17:19:14,1.0,[13125],[13127],-107.198524,33.939583,-107.19801,33.93693,5553.235,5162.73,528.55536,5528.694,5138.147,530.30084,5484.982,5097.8125,533.2043,270.33313,270.77817,15,15,0.03319974906789637,0.0229534734304797,270.75412,271.11288,15,15,0.06187381172819669,0.06460303288794524
7,c298,13402,2022-07-19 17:23:49,13430,2022-07-19 17:24:17,1.0,[13402],[13430],-107.21962,33.90441,-107.22183,33.94111,5112.033,4754.643,558.14777,5105.9277,4750.441,558.4592,5098.7485,4744.342,558.98956,274.06137,274.69757,14,14,0.009322407937200999,0.013107080950526559,274.26645,274.75473,15,15,0.018622843792328553,0.02966983809693381
8,c298,13660,2022-07-19 17:28:07,13671,2022-07-19 17:28:18,1.0,[13660],[13671],-107.20436,33.935436,-107.20846,33.92121,5510.673,5128.9556,530.9548,5518.4,5133.289,530.6463,5533.0166,5143.1445,529.98035,270.61673,271.1615,15,15,0.0319737625898634,0.016691232549441434,270.2468,270.7198,15,15,0.015833061636881064,0.03442672434399131
9,c298,13864,2022-07-19 17:31:31,13870,2022-07-19 17:31:37,1.0,[13864],[13870],-107.21164,33.923454,-107.203285,33.92726,6063.942,5640.2217,495.55563,6077.2446,5653.754,494.64517,6056.9473,5636.5527,495.90076,266.692,267.30957,15,15,0.04287431474725012,0.014289806604032328,266.73447,267.18518,15,15,0.024576214169017167,0.04514117470270849
